id,CIE_10_Id,CIE10_DESC
1,A00,Cólera
1,A01,Fiebres tifoidea y paratifoidea
1,A03,Shigelosis
1,A06,Amebiasis
1,A15,"Tuberculosis respiratoria, bacteriológica e histológicamente"
1,A16,"Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente"
1,A17,Tuberculosis del sistema nervioso
1,A19,Tuberculosis Miliar
1,A20,Peste
1,A21,Tularemia
1,A22,Antrax
1,A23,Brucelosis
1,A24,Muermo y melioidosis
1,A25,Fiebre por mordedura de rata
1,A26,Erisipeloide
1,A27,Leptospirosis
1,A30,Lepra [enfermedad de Hansen]
1,A32,Listeriosis
1,A33,Tétanos neonatal 
1,A34,Tétanos obstétrico 
1,A36,Difteria
1,A37,Tos ferina
1,A38,Escarlatina 
1,A39,Infección meningocócica
1,A40,Sepsis estreptocócica
1,A42,Actinomicosis
1,A43,Nocardiosis
1,A44,Bartonelosis
1,A46,Erisipela 
1,A49,Infección bacteriana de localización no especificada
1,A50,Sífilis congénita
1,A51,Sífilis precoz
1,A52,Sífilis tardía
1,A54,Infección gonocócica
1,A55,Linfogranuloma (venéreo) por clamidias 
1,A57,Chancro blando 
1,A58,Granuloma inguinal 
1,A59,Tricomoniasis
1,A60,Infección anogenital debida a virus del herpes [herpes simple]
1,A64,Enfermedad de transmisión sexual no especificada 
1,A65,Sífilis no venérea 
1,A66,Pian
1,A67,Pinta [carate]
1,A68,Fiebre recidivante
1,A70,Clamidia psittaci infecciones 
1,A71,Tracoma
1,A75,Fiebre tifoidea
1,A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas]
1,A78,Fiebre Q 
1,A80,Poliomielitis aguda
1,A81,Infecciones por virus atípico del sistema nervioso central
1,A82,Rabia
1,A83,Encefalitis viral transmitida por mosquitos
1,A84,Encefalitis viral transmitida por garrapatas
1,A86,"Encefalitis viral, no especificada "
1,A87,Meningitis viral
1,A89,"Infección viral del sistema nervioso central, no especificada "
1,A94,"Fiebre viral transmitida por artrópodos, no especificada "
1,A95,Fiebre amarilla
1,A96,Fiebre hemorrágica por arenavirus
1,A97,Dengue
1,A99,"Fiebre viral hemorrágica, no especificada "
1,B00,Infecciones por herpesvirus [herpes simple]
1,B01,Varicela
1,B02,Herpes zóster
1,B03,Viruela 
1,B04,Viruela de los monos 
1,B05,Sarampión
1,B06,Rubeola [sarampión alemán]
1,B07,Verrugas víricas 
1,B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas "
1,B15,Hepatitis aguda tipo A
1,B16,Hepatitis aguda tipo B
1,B18,Hepatitis vírica crónica
1,B19,"Hepatitis vírica, no especificada"
1,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH]
1,B21,Enfermedad por el virus de la inmunodeficiencia humana [VIH] que da lugar a la categoría de neoplasias malignas
1,B22,Enfermedad por el virus de la inmunodeficiencia humana [VIH] que da como resultado otra categoría de enfermedades especificadas
1,B23,Enfermedad por el virus de la inmunodeficiencia humana [VIH] que resulta en otra categoría de condiciones
1,B24,Enfermedad por el virus de la inmunodeficiencia humana [VIH] no especificada 
1,B25,Enfermedad por citomegalovirus
1,B26,Parotiditis infecciosa
1,B27,Mononucleosis infecciosa
1,B30,Conjuntivitis viral
1,B34,Infección viral de localización no especificada
1,B35,Dermatofitosis
1,B37,Candidiasis
1,B38,Coccidioidomicosis
1,B39,Histoplasmosis
1,B40,Blastomicosis
1,B41,Paracoccidioidomicosis
1,B42,Esporotricosis
1,B43,Cromomicosis y absceso feomicótico
1,B44,Aspergilosis
1,B45,Criptococosis
1,B46,Cigomicosis
1,B47,Micetoma
1,B49,"Micosis, no especificadas "
1,B50,Paludismo [malaria] debido a Plasmodium falciparum
1,B51,Paludismo [malaria] debido a Plasmodium vivax
1,B52,Paludismo [malaria] debido a Plasmodium malariae
1,B54,Paludismo [malaria] no especificado 
1,B55,Leishmaniasis
1,B56,Tripanosomiasis africana
1,B57,Enfermedad de Chagas
1,B58,Toxoplasmosis
1,B59,Neumocistosis 
1,B64,"Enfermedad debida a protozoos, no especificada "
1,B65,Esquistosomiasis [bilharziasis]
1,B67,Equinococosis
1,B68,Teniasis
1,B69,Cisticercosis
1,B70,Difilobotriasis y esparganosis
1,B72,Dracontiasis 
1,B73,Oncocercosis 
1,B74,Filariasis
1,B75,Triquinosis 
1,B76,Anquilostomiasis 
1,B77,Ascariasis
1,B78,Estrongiloidiasis
1,B79,Tricuriasis 
1,B80,enterobiasis 
1,B82,"Parasitosis intestinales, no especificadas"
1,B85,Pediculosis e infestación por piojos
1,B86,Sarna 
1,B87,Miasis
1,B89,Enfermedad parasitaria no especificada 
1,B90,Secuelas de tuberculosis
1,B91,Secuelas de la poliomielitis 
1,B92,Secuelas de la lepra 
1,B95,"Streptococcus, Staphylococcus y Enterococos como causa de enfermedades clasificadas bajo otro concepto"
1,B97,Agentes virales como causa de enfermedades clasificadas bajo otro concepto
1,C00,Neoplasia maligna de labio
1,C01,Neoplasia maligna de base de lengua 
1,C03,Neoplasia maligna de encía
1,C04,Neoplasia maligna de suelo de la boca
1,C05,Neoplasia maligna del paladar
1,C07,Neoplasia maligna de glándula parótida 
1,C09,Neoplasia maligna de amígdala
1,C10,Neoplasia maligna de orofaringe
1,C11,Neoplasia maligna de nasofaringe
1,C12,Neoplasia maligna de seno piriforme 
1,C13,Neoplasia maligna de hipofaringe
1,C15,Neoplasia maligna de esófago
1,C16,Neoplasia maligna de estómago
1,C17,Neoplasia maligna de intestino delgado
1,C18,Neoplasia maligna de colon
1,C19,Neoplasia maligna de unión rectosigmoidea 
1,C20,Neoplasia maligna de recto 
1,C21,Neoplasia maligna de ano y canal anal
1,C22,Neoplasia maligna de hígado y vías biliares intrahepáticas
1,C23,Neoplasia maligna de vesícula biliar 
1,C25,Neoplasia maligna de páncreas
1,C30,Neoplasia maligna de cavidad nasal y de oído medio
1,C31,Neoplasia maligna de senos accesorios
1,C32,Neoplasia maligna de laringe
1,C33,Neoplasia maligna de traquea 
1,C34,Neoplasia maligna de bronquio y pulmón
1,C37,Neoplasia maligna de timo 
1,C38,"Neoplasia maligna de corazón, mediastino y pleura"
1,C40,Neoplasia maligna de hueso y de cartílago articular de extremidades
1,C43,Melanoma maligno de piel
1,C45,Mesotelioma
1,C46,Sarcoma de Kaposi
1,C47,Neoplasia maligna de nervios periféricos y sistema nervioso autónomo
1,C48,Neoplasia maligna de retroperitoneo y peritoneo
1,C50,Neoplasia maligna de mama
1,C51,Neoplasia maligna de vulva
1,C52,Neoplasia maligna de vagina 
1,C53,Neoplasia maligna de cuello de útero
1,C54,Neoplasia maligna de cuerpo de útero
1,C55,"Neoplasia maligna de útero, parte no especificada "
1,C56,Neoplasia maligna de ovario 
1,C58,Neoplasia maligna de placenta 
1,C60,Neoplasia maligna de pene
